datetime,XGBoost,RandomForest,LSTM,CNN_LSTM
2025-10-29 02:00:00,863.26733,899.3122063044759,85.06982,71.5089
2025-10-29 03:00:00,753.3582,887.5688528964513,85.06985,71.5089
2025-10-29 04:00:00,627.9786,781.3737126961314,85.06982,71.50887
2025-10-29 05:00:00,41.767067,42.65020840222876,85.06982,71.50884
2025-10-29 06:00:00,120.6578,65.80535067502565,85.06982,71.5089
2025-10-29 07:00:00,169.67847,209.20029601585085,85.06982,71.5089
2025-10-29 08:00:00,722.1387,850.5601185242984,85.06985,71.50884
2025-10-29 09:00:00,483.11023,665.5487530733368,85.06982,71.5089
2025-10-29 10:00:00,406.88687,528.2473812228541,85.06982,71.5089
2025-10-29 11:00:00,381.3282,394.925551608626,85.06982,71.5089
2025-10-29 12:00:00,554.03174,562.2096829137915,85.06982,71.50884
2025-10-29 13:00:00,398.3628,419.1709191500624,85.06982,71.5089
2025-10-29 14:00:00,431.64233,371.9498866538317,85.06982,71.5089
2025-10-29 15:00:00,-86.9418,85.25602440387357,85.06982,71.50887
2025-10-29 16:00:00,360.16962,367.2876354272792,85.06982,71.5089
2025-10-29 17:00:00,-41.605095,97.45647311236957,85.06985,71.5089
2025-10-29 18:00:00,-20.94112,94.03673094589895,85.06985,71.50887
2025-10-29 19:00:00,-58.61701,90.05380702711851,85.06982,71.5089
2025-10-29 20:00:00,-18.03353,86.60174537027562,85.06982,71.50887
2025-10-29 21:00:00,-30.625523,41.337167980346834,85.06982,71.5089
2025-10-29 22:00:00,160.60522,227.90084210914816,85.069786,71.5089
2025-10-29 23:00:00,-0.5139752,30.041237716934404,85.06982,71.5089
2025-10-30 00:00:00,749.5154,907.5573827961704,85.06982,71.50887
2025-10-30 01:00:00,637.0133,806.8550024711739,85.06982,71.50887
2025-10-30 02:00:00,867.9734,897.6206678612315,85.06982,71.50887
2025-10-30 03:00:00,757.04663,894.0303250828944,85.06982,71.5089
2025-10-30 04:00:00,645.58636,772.2297538629357,85.06982,71.5089
2025-10-30 05:00:00,23.304035,41.9688913373399,85.06982,71.5089
2025-10-30 06:00:00,114.13892,65.04403130473872,85.06985,71.5089
2025-10-30 07:00:00,159.70615,66.79685236498138,85.06982,71.50887
2025-10-30 08:00:00,697.4852,840.1203159920268,85.06982,71.50887
2025-10-30 09:00:00,448.76178,633.9887916513874,85.06982,71.5089
2025-10-30 10:00:00,354.70337,443.22709383879845,85.06982,71.5089
2025-10-30 11:00:00,354.59222,348.92717781013016,85.06982,71.5089
2025-10-30 12:00:00,560.24695,569.3172758040611,85.06982,71.50887
2025-10-30 13:00:00,410.88013,393.20982785408336,85.06982,71.5089
2025-10-30 14:00:00,420.42578,398.5386942320565,85.06982,71.5089
2025-10-30 15:00:00,-84.46437,84.4559941260958,85.06982,71.5089
2025-10-30 16:00:00,378.2582,382.83857766845904,85.06982,71.5089
2025-10-30 17:00:00,-44.161224,97.91685940204225,85.06982,71.5089
2025-10-30 18:00:00,-27.494766,93.42875978526946,85.06982,71.50887
2025-10-30 19:00:00,-67.0941,90.05245147156293,85.06982,71.50887
2025-10-30 20:00:00,-20.395658,86.7017731480534,85.06985,71.5089
2025-10-30 21:00:00,-30.77134,41.610911998580754,85.06982,71.5089
2025-10-30 22:00:00,165.02579,248.9922468330516,85.06982,71.5089
2025-10-30 23:00:00,10.714288,29.587480678974195,85.06982,71.5089
2025-10-31 00:00:00,737.1915,874.7535394053976,85.06982,71.5089
2025-10-31 01:00:00,633.78,770.3989914145194,85.06982,71.5089
2025-10-31 02:00:00,869.5462,901.1191085587857,85.06982,71.5089
2025-10-31 03:00:00,757.8463,895.6222786370698,85.06982,71.5089
2025-10-31 04:00:00,651.1914,770.8266913726402,85.06982,71.5089
2025-10-31 05:00:00,-4.108209,39.94224372979628,85.06982,71.5089
2025-10-31 06:00:00,139.34741,64.91765051653847,85.06982,71.5089
2025-10-31 07:00:00,160.29729,68.78532916072308,85.06982,71.5089
2025-10-31 08:00:00,691.9531,835.1483632187577,85.06982,71.5089
2025-10-31 09:00:00,418.71332,571.321947222869,85.06985,71.5089
2025-10-31 10:00:00,329.37988,379.6270919125036,85.06982,71.50887
2025-10-31 11:00:00,366.05414,341.78753416096885,85.06982,71.50887
2025-10-31 12:00:00,568.6723,572.6111053802309,85.06982,71.50887
2025-10-31 13:00:00,409.04083,405.15823710134543,85.06982,71.5089
2025-10-31 14:00:00,410.5031,384.85432763076113,85.06982,71.5089
2025-10-31 15:00:00,-57.41954,84.28478301498468,85.06982,71.5089
2025-10-31 16:00:00,380.30014,388.01732070691435,85.06982,71.5089
2025-10-31 17:00:00,-65.106026,95.71179088003,85.06985,71.5089
2025-10-31 18:00:00,-68.803406,92.72645049264351,85.06982,71.50887
2025-10-31 19:00:00,-68.54373,90.07504348545181,85.06982,71.50887
2025-10-31 20:00:00,-8.314502,87.38215401225094,85.06982,71.50887
2025-10-31 21:00:00,-38.676773,41.48696441276872,85.06982,71.5089
2025-10-31 22:00:00,201.27017,258.74935220952693,85.06985,71.50887
2025-10-31 23:00:00,-8.708665,39.935370823745245,85.06982,71.50887
2025-11-01 00:00:00,720.05164,851.8826669271739,85.06982,71.50887
2025-11-01 01:00:00,599.4875,769.2280415853028,85.06982,71.50887
2025-11-01 02:00:00,868.591,898.9153280992936,85.06982,71.5089
2025-11-01 03:00:00,748.2499,895.5002041926256,85.06982,71.5089
2025-11-01 04:00:00,688.9141,780.8822644793712,85.06982,71.5089
2025-11-01 05:00:00,-2.4944744,37.91681551480436,85.06982,71.50887
2025-11-01 06:00:00,124.406746,65.2501493859079,85.06982,71.5089
2025-11-01 07:00:00,165.04109,68.44200561258019,85.06985,71.5089
2025-11-01 08:00:00,685.4073,807.6206196115517,85.06985,71.50887
2025-11-01 09:00:00,368.92163,509.2743493833453,85.06982,71.5089
2025-11-01 10:00:00,312.67914,363.9296600949272,85.06982,71.5089
2025-11-01 11:00:00,371.74918,350.57991876023317,85.06982,71.5089
2025-11-01 12:00:00,572.34467,571.7708992449067,85.069786,71.5089
2025-11-01 13:00:00,398.5545,404.87025170917053,85.06982,71.5089
2025-11-01 14:00:00,422.56274,380.6672939691713,85.06982,71.50887
2025-11-01 15:00:00,-72.54836,84.2402830149847,85.06982,71.50887
2025-11-01 16:00:00,402.1153,398.00943422318124,85.06982,71.50887
2025-11-01 17:00:00,-35.58252,93.91160208271621,85.06982,71.5089
2025-11-01 18:00:00,-25.558863,93.19428366425456,85.06982,71.5089
2025-11-01 19:00:00,-69.14259,89.89940381357896,85.06982,71.5089
2025-11-01 20:00:00,-2.5493202,87.01373618461561,85.06985,71.5089
2025-11-01 21:00:00,-34.617928,41.87041972214338,85.06982,71.50887
2025-11-01 22:00:00,220.47836,289.4852473280951,85.06982,71.50887
2025-11-01 23:00:00,9.089286,38.874099451214924,85.06982,71.5089
2025-11-02 00:00:00,723.904,847.1051264818491,85.06982,71.5089
2025-11-02 01:00:00,609.9487,745.4042758589868,85.06982,71.5089
2025-11-02 02:00:00,861.98047,900.2754498836642,85.06982,71.50887
2025-11-02 03:00:00,753.3931,877.1687704310403,85.06982,71.5089
2025-11-02 04:00:00,699.1483,808.2042004346184,85.06982,71.5089
2025-11-02 05:00:00,-25.270689,38.41764987515843,85.06982,71.5089
2025-11-02 06:00:00,136.56076,65.27498978403435,85.06982,71.5089
2025-11-02 07:00:00,160.90656,68.44200561258018,85.06982,71.5089
2025-11-02 08:00:00,688.402,806.1456864115479,85.06982,71.50887
2025-11-02 09:00:00,306.20847,385.738938713743,85.06982,71.50887
2025-11-02 10:00:00,286.86392,355.0316463219664,85.06985,71.5089
2025-11-02 11:00:00,371.9178,352.86330556121,85.06982,71.5089
2025-11-02 12:00:00,576.53937,572.5510752787777,85.06982,71.5089
2025-11-02 13:00:00,417.5894,390.61540585980026,85.06982,71.5089
2025-11-02 14:00:00,418.94196,380.41503674897064,85.06982,71.5089
2025-11-02 15:00:00,-57.822083,83.79047805661389,85.06982,71.5089
2025-11-02 16:00:00,389.28232,351.39850363986307,85.06982,71.5089
2025-11-02 17:00:00,-64.430664,94.53114896823809,85.06982,71.5089
2025-11-02 18:00:00,-71.764786,92.74652125217861,85.06982,71.5089
2025-11-02 19:00:00,-62.8858,90.14616227567744,85.06982,71.5089
2025-11-02 20:00:00,10.833218,87.56157334936658,85.06982,71.5089
2025-11-02 21:00:00,-32.888428,41.892122882435096,85.06982,71.5089
2025-11-02 22:00:00,238.10374,292.9966964424106,85.06982,71.5089
2025-11-02 23:00:00,-0.8579127,38.16790321156374,85.06985,71.5089
2025-11-03 00:00:00,717.97394,847.99243862347,85.06982,71.50887
2025-11-03 01:00:00,572.2789,745.6804136897375,85.06982,71.50887
2025-11-03 02:00:00,851.58136,896.6523564227042,85.06982,71.50887
2025-11-03 03:00:00,770.6468,895.6804120020868,85.06982,71.5089
2025-11-03 04:00:00,711.32043,836.6745215850116,85.06982,71.5089
2025-11-03 05:00:00,-11.002727,38.19474917660483,85.06982,71.5089
2025-11-03 06:00:00,113.23114,65.27498978403435,85.06982,71.5089
2025-11-03 07:00:00,169.58513,68.40912169818108,85.06985,71.5089
